"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00252065","CULBERTSON, NE US","1942","496.9","496.9","        68","        41","        2","         9","        18","       158","        22","       161","        57","-30.0","127","140.0","86.9","41.7","-3.9","-3.9","-4.4","-6.7","-10.0","0.0","-5.6","-5.6","-6.7","-11.7","3250.0","3250.0","620.6","762.0","10.4","18.6","2.2"
"USC00252065","CULBERTSON, NE US","1943","752.7","752.7","        61","        33","        6","         4","         9","       163","        10","       185","        74","-31.7","76","122.0","28.4","42.8","-0.6","-5.6","-5.6","-7.2","-8.9","0.0","-3.9","-8.9","-8.9","-8.9","3013.8","3013.8","286.0","370.0","12.0","21.0","3.0"
"USC00252065","CULBERTSON, NE US","1944","590.5","590.5","        77","        46","       15","        15","         6","       167","        24","       167","        54","-24.4","102","259.0","45.7","38.9","-1.1","-3.9","-5.0","-7.8","-11.1","-1.1","-2.2","-4.4","-8.3","-8.9","3372.9","3372.9","655.1","1370.0","10.6","18.1","3.1"
"USC00252065","CULBERTSON, NE US","1945","560.7","560.7","        62","        41","       23","        10","         4","       169","        23","       175","        55","-27.2","127","58.0","57.9","42.8","0.0","-3.3","-5.6","-8.3","-9.4","-2.8","-2.8","-4.4","-6.7","-13.3","3142.0","3142.0","503.2","470.0","11.0","19.3","2.6"
"USC00252065","CULBERTSON, NE US","1946","647.8","647.8","        78","        52","       13","         4","         3","       153","         6","       185","        67","-23.3","254","254.0","59.2","43.9","-1.7","-2.2","-14.4","-14.4","-14.4","0.0","-2.2","-6.1","-10.6","-10.6","2948.4","2948.4","714.1","449.0","12.0","20.6","3.4"
"USC00252065","CULBERTSON, NE US","1947","640.6","640.6","        69","        44","       34","         9","         9","       162","        26","       172","        67","-24.4","178","185.0","81.3","41.1","0.0","-4.4","-4.4","-10.6","-10.6","-2.2","-2.2","-5.0","-7.2","-10.0","3407.5","3407.5","633.6","698.0","10.9","19.1","2.6"
"USC00252065","CULBERTSON, NE US","1948","651.9","651.9","        69","        47","       54","        15","        15","       164","        39","       196","        73","-28.9","203","104.0","45.7","40.0","-0.6","-2.8","-7.2","-7.2","-8.9","-2.2","-2.2","-4.4","-6.7","-16.7","3223.5","3223.5","533.2","979.0","11.0","19.4","2.5"
"USC00252065","CULBERTSON, NE US","1949","593.6","593.6","        80","        46","       46","         7","        19","       161","        30","       184","        52","-26.1","254","254.0","62.5","39.4","-0.6","-2.8","-5.0","-6.7","-10.6","-0.6","-5.0","-5.0","-7.2","-12.2","3508.1","3508.1","553.4","602.0","10.8","18.9","2.6"
"USC00252065","CULBERTSON, NE US","1950","444.1","444.1","        64","        41",,"         5","        17","       161","        23","       180","        43","-28.9",,"132.0","47.0","40.6","-1.1","-4.4","-4.4","-6.7","-11.1","-0.6","-6.7","-6.7","-6.7","-9.4","3262.1","3262.1","483.1","446.0","10.4","19.3","1.5"
"USC00252065","CULBERTSON, NE US","1951","375.6","375.6","        82","        47","       23","         4","        14","       173","        24","       166","        27","-31.1","76","76.0","42.9","37.8","0.0","-2.8","-4.4","-6.7","-10.6","-2.2","-2.2","-10.0","-10.0","-10.0","3237.4","3237.4","604.9","239.0","9.4","17.7","1.2"
"USC00252065","CULBERTSON, NE US","1952","708.6","708.6","        75","        43","       67","        13","        13","       171","        23","       181","        75","-26.7","254","254.0","46.2","43.3","-9.4","-9.4","-9.4","-9.4","-9.4","-1.1","-4.4","-4.4","-7.8","-16.1","3449.3","3449.3","444.6","1058.0","11.1","19.6","2.6"
